Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Sat	05:00:00 PM	06:00:00 PM	A3	Comics	CLAMP	A discussion of the works of Japan's premiere women's comic book/manga collective.	Melissa Gregory, Catherine Lundoff, Rebecca Marjesdatter
Sat	05:00:00 PM	06:00:00 PM	A4	Science	Raptor Center	Come and look at birds of prey up-close and learn about the animals. Sponsored by MISFITS.	Amber Burnett, Larry Dixon, Mercedes Lackey, Erin Lorenz, Sharon Steitler
Sat	05:00:00 PM	06:00:00 PM	A6	Lit	The Good, the Bad, and the *SHUSH*!	How accurately have librarians been portrayed in books, comics, television, and movies? Meet some real-life librarians and get their take on popular culture's interpretation of their livelihood.	Jenni Klumpp, Kevin McIntyre, Greg Prickman, Lynne Thomas, Jody Wurl
Sat	05:00:00 PM	06:00:00 PM	A7	Science	Moonshot in '69: Wha' Happened?	Feel like interest in manned space exploration has taken one giant leap backwards since the 1960's? What can be done to get the public excited for space exploration? Do we need an imminent natural disaster calling for planetary evacuation to get butts moving? Or just another Cold War?	Ben Huset, Bridget Landry, G. David Nordley, Chuck Waibel
Sat	05:00:00 PM	06:00:00 PM	A8	HotDish	Here Be Dragons...	Dragons exist in many mythologies and cultures the world over. Come and learn about the different myths and legends surrounding these creatures.	Kenneth Hite, Philip Kaveny, Jason D. Wittman
Sat	05:00:00 PM	06:00:00 PM	Bloom	Movies	Spoiler Alert: The Rumor Mill	Let's roll up the sleeves, get our hands dirty, and dish the dirt on upcoming features. If you don't like spoilers and speculation then now would be a good time to head to the project room.	Romeo Azar, Derek Mahr
Sat	05:00:00 PM	06:00:00 PM	Edina	TV	Doctor Who by Decade: The Eighties	Covering the 1980's era Dr. Who, this is the third in a series of four panels exploring the rich and varied history of the classic British science-fiction series, focusing on the Davison, C. Baker, and McCoy eras. It probably would have been easier to say the JNT era, huh?	Michael Lee, Charlie Paulsen, Lars Pearson, Michael Scott Shappe, Michael D. Thomas
Sat	05:00:00 PM	06:00:00 PM	Kr	Lit	SF Writing Groups: The 2008 Scene	This annual gathering allows representatives of writing groups specializing in science fiction and fantasy to report on how their groups function, and gives groups that are looking for new members a chance to connect with individuals who are interested in joining an SF writing group, and/or gives individuals a chance to put their heads together and start a new writing group. Sponsored at a local con since 1986 (formerly Minicon, now CONvergence) by the Minnesota Imaginative Fiction Writers' Alliance.	Eric M. Heideman
Sat	05:00:00 PM	06:00:00 PM	P1	AV	Ten Years with Connie: The Art of CONvergence	Connie creator Christopher Jones shares some highlights of 10 years of CONvergence artwork, and talks about the creation of Connie, Professor Maxwell Misfittle, and other CONvergence artwork and characters.	Christopher Jones
Sat	05:00:00 PM	06:00:00 PM	Sign	Auto	Signing w/David	Signing/Autographing	David Weber
Sat	06:30:00 PM	09:00:00 PM	Bloom	HotDish	Sci-Fi Summit: The Mega-Panel	We've got a panel so broad, so deep, and so miscellaneous in focus, we've had to give it not one, but two time slots. Join us for an extended mega-panel that covers sci-fi and fantasy trends in the past ten years in books, movies, and television.	Romeo Azar, Christa Dickson, Ben Ellis, Lars Pearson, Dan Wallace
Sat	07:00:00 PM	09:00:00 PM	MnStg	MainStg	Masqurade	Our annual masqurade.	
Sat	08:00:00 PM	02:00:00 AM	Kr	HotDish	A Party for Readers and Viewers: The Silver Edition	Sponsored by Second Foundation, a Twin Cities speculative fiction book-discussion group - whose members are also film buffs - that has met regularly since 1/29/1983. Goes from 8 PM until 2 AM.	Eric M. Heideman
Sat	09:00:00 PM	11:30:00 PM	A4	Arts	Art Auction	Our Annual Art Auction.	Larry Dixon, Melissa Kaercher, Charles Piehl
